vehicle_type,driver_age,driving_experience_yrs,gender,license_valid,helmet_or_seatbelt,alcohol_detected,mobile_phone_use,fatigue_score,vehicle_age_years,last_service_months,past_accident_count
Car/SUV,23,5,Male,0,1,0,0,0.314,4,20,2
Two-Wheeler,34,16,Male,1,1,0,1,0.213,18,16,0
Bus,44,2,Male,1,1,0,0,0.026,3,7,1
Two-Wheeler,32,14,Male,1,0,0,0,0.247,2,25,1
Car/SUV,32,14,Male,1,1,0,1,0.256,8,35,0
Tractor,64,23,Male,1,1,1,0,0.406,22,32,0
Tempo,37,10,Male,1,1,0,1,0.512,5,12,1
Auto-Rickshaw,34,16,Female,1,1,0,0,0.031,23,18,0
Truck/HCV,63,1,Male,1,1,0,0,0.383,22,29,0
Bus,57,8,Male,1,1,0,0,0.012,13,10,2
Tractor,32,14,Male,0,0,0,1,0.059,24,3,2
Bus,61,23,Male,1,1,0,0,0.399,18,5,0
Auto-Rickshaw,45,15,Male,1,0,0,1,0.506,17,16,1
Tractor,32,14,Female,1,1,0,0,0.393,14,15,1
Two-Wheeler,55,17,Male,0,1,0,0,0.562,16,35,1
Car/SUV,61,8,Male,1,0,0,0,0.4,1,2,0
Auto-Rickshaw,24,4,Male,1,1,0,0,0.07,21,6,0
E-Rickshaw,25,7,Male,1,0,0,1,0.434,19,34,0
Bus,34,16,Female,1,1,0,0,0.342,17,0,1
Two-Wheeler,32,13,Male,1,1,1,1,0.308,13,22,1
Truck/HCV,55,5,Male,1,0,1,1,0.294,9,13,1
Car/SUV,40,22,Male,1,1,0,0,0.64,1,15,1
E-Rickshaw,52,16,Male,0,1,0,0,0.137,21,13,1
Truck/HCV,64,6,Male,1,0,0,0,0.481,8,30,0
Tempo,39,21,Male,1,0,0,1,0.182,16,25,0
Two-Wheeler,57,17,Male,1,1,0,1,0.35,5,11,0
Tempo,59,15,Male,1,1,0,0,0.039,2,32,2
Auto-Rickshaw,24,6,Male,1,0,0,1,0.311,23,33,0
Two-Wheeler,36,18,Male,1,0,0,0,0.184,4,14,0
Bus,21,3,Male,1,0,0,1,0.759,13,9,1
Auto-Rickshaw,18,0,Female,0,1,0,1,0.556,6,24,0
Bus,57,35,Male,1,0,0,1,0.491,21,17,0
Car/SUV,39,16,Female,1,0,1,0,0.487,24,26,1
Truck/HCV,38,20,Male,1,1,0,0,0.164,3,18,2
Car/SUV,36,18,Male,1,1,1,0,0.284,25,27,0
E-Rickshaw,53,23,Male,1,0,0,0,0.316,21,13,3
Bus,21,0,Male,1,0,0,0,0.151,10,17,0
Truck/HCV,44,2,Male,0,1,0,1,0.256,2,22,0
Bus,45,27,Male,0,1,0,0,0.545,0,17,2
Truck/HCV,57,24,Male,1,1,0,0,0.649,15,33,0
Truck/HCV,43,5,Male,1,1,1,0,0.157,0,0,0
Tempo,45,27,Male,0,1,0,0,0.151,3,33,0
Tempo,33,13,Male,0,0,0,0,0.452,11,1,0
Truck/HCV,31,13,Male,0,0,0,0,0.168,17,29,3
Tractor,40,4,Female,1,1,0,0,0.445,10,26,0
Tractor,59,28,Male,0,1,0,1,0.433,20,33,0
Truck/HCV,20,2,Female,1,1,0,1,0.076,15,25,0
Car/SUV,52,29,Male,1,1,0,0,0.215,10,4,2
Tractor,42,24,Female,1,1,0,0,0.219,10,22,1
Truck/HCV,28,9,Male,1,1,0,0,0.236,19,31,0
Tempo,20,2,Male,0,0,0,0,0.374,6,10,0
Tractor,38,20,Male,0,0,0,1,0.393,19,30,0
Car/SUV,22,4,Female,0,1,0,0,0.153,6,8,0
E-Rickshaw,39,21,Female,1,0,0,1,0.196,9,16,1
Tempo,29,11,Male,1,1,0,0,0.264,13,13,2
Auto-Rickshaw,48,25,Male,1,0,0,1,0.182,19,23,1
Truck/HCV,34,13,Male,1,0,1,1,0.369,3,12,1
Truck/HCV,30,12,Male,1,0,0,0,0.302,1,22,0
Truck/HCV,42,14,Male,1,1,0,0,0.471,23,8,1
Tractor,44,26,Female,0,0,0,0,0.323,8,29,0
Auto-Rickshaw,42,9,Male,1,1,0,1,0.314,5,22,0
E-Rickshaw,44,25,Male,1,0,0,1,0.318,15,8,0
Two-Wheeler,47,28,Male,1,1,0,0,0.155,19,5,0
Tempo,52,32,Male,1,0,0,0,0.258,17,5,1
Two-Wheeler,33,10,Male,0,1,0,0,0.324,1,17,1
Two-Wheeler,44,19,Male,1,1,0,0,0.324,21,4,0
Tempo,42,4,Male,1,0,0,0,0.155,18,16,3
Tractor,49,1,Female,1,1,1,1,0.283,12,27,0
E-Rickshaw,54,31,Male,1,1,0,1,0.419,5,3,1
Auto-Rickshaw,49,29,Female,1,1,0,0,0.389,19,16,1
Bus,63,34,Male,1,1,0,0,0.102,8,30,0
Car/SUV,23,5,Male,1,0,0,0,0.411,24,23,2
Truck/HCV,28,10,Male,1,0,1,0,0.349,3,35,0
Bus,56,27,Male,1,0,0,0,0.343,12,31,0
Tempo,54,25,Female,0,1,0,0,0.122,18,31,1
Two-Wheeler,23,5,Female,1,1,0,0,0.459,9,25,0
Truck/HCV,22,4,Male,1,0,0,0,0.47,24,31,1
Car/SUV,39,21,Female,1,0,0,1,0.213,4,10,1
Two-Wheeler,52,27,Male,1,0,0,0,0.508,22,31,0
E-Rickshaw,42,24,Female,0,0,0,0,0.128,10,3,3
Truck/HCV,49,30,Male,1,0,0,1,0.659,25,22,2
E-Rickshaw,56,22,Male,1,0,1,0,0.619,15,29,0
E-Rickshaw,55,28,Male,1,1,0,0,0.022,0,19,2
E-Rickshaw,28,10,Male,1,1,0,1,0.473,24,16,0
Car/SUV,58,25,Male,1,0,0,1,0.231,6,30,0
Bus,34,16,Male,0,1,0,0,0.308,21,27,1
Truck/HCV,53,32,Male,0,0,0,0,0.352,15,28,0
Bus,41,14,Male,1,0,1,0,0.404,21,9,2
Tempo,53,31,Male,1,1,0,0,0.135,7,9,0
Tempo,21,3,Male,0,1,0,0,0.534,0,7,0
Truck/HCV,41,23,Male,1,0,0,1,0.572,3,12,2
Two-Wheeler,27,5,Male,1,1,0,0,0.543,9,13,0
Car/SUV,43,9,Male,0,1,1,0,0.298,10,16,0
E-Rickshaw,63,31,Male,1,1,0,1,0.379,0,13,0
Auto-Rickshaw,57,21,Female,1,0,0,0,0.447,6,13,0
E-Rickshaw,52,29,Male,0,1,0,0,0.345,14,12,0
Truck/HCV,44,18,Male,1,0,0,0,0.422,23,13,0
Tractor,55,17,Male,1,1,0,1,0.095,6,14,1
Bus,32,14,Male,1,0,0,0,0.229,24,28,0
Bus,19,1,Female,1,1,0,0,0.285,24,21,0
Auto-Rickshaw,34,16,Female,0,1,0,0,0.227,21,22,0
E-Rickshaw,63,25,Male,1,1,0,0,0.068,9,19,3
Truck/HCV,34,16,Female,0,1,0,1,0.511,7,1,0
Tempo,57,6,Female,0,0,0,1,0.167,16,10,0
Tractor,22,1,Female,1,1,0,0,0.056,0,13,0
E-Rickshaw,45,3,Male,1,0,0,0,0.273,21,4,1
Car/SUV,33,15,Male,0,1,0,1,0.288,7,31,0
Truck/HCV,64,34,Female,1,0,0,1,0.106,24,23,0
Auto-Rickshaw,45,27,Female,1,1,0,1,0.194,16,16,0
Tractor,32,0,Male,1,0,0,0,0.102,4,22,0
Auto-Rickshaw,52,25,Male,0,1,0,0,0.237,15,34,1
Truck/HCV,22,4,Female,1,0,0,0,0.298,2,29,1
Tractor,28,10,Male,1,0,0,0,0.078,2,11,1
Two-Wheeler,22,4,Male,1,0,0,0,0.337,19,26,3
Tempo,33,7,Female,1,1,0,0,0.08,21,36,2
Truck/HCV,53,29,Male,1,0,1,1,0.077,10,34,0
Bus,35,17,Male,1,1,0,1,0.169,22,4,0
Tempo,51,28,Male,1,1,0,0,0.13,11,0,0
Bus,54,0,Male,1,0,0,0,0.3,11,13,0
Tempo,58,28,Male,1,0,0,0,0.108,22,2,0
Truck/HCV,18,0,Male,0,1,1,0,0.617,24,35,0
Tempo,52,4,Male,1,1,0,0,0.124,25,9,1
Tractor,23,5,Female,0,1,0,0,0.25,14,36,1
Tractor,23,5,Male,1,1,0,0,0.187,0,8,1
E-Rickshaw,53,14,Male,1,0,0,0,0.37,18,32,0
E-Rickshaw,47,10,Male,1,0,1,1,0.068,6,28,0
Tractor,42,4,Male,1,1,0,0,0.32,21,4,1
Tempo,26,8,Male,1,1,0,0,0.263,13,36,0
Auto-Rickshaw,47,10,Male,1,0,0,0,0.286,6,34,0
Tractor,57,16,Male,0,0,0,0,0.145,12,3,0
Tempo,55,14,Male,1,1,0,0,0.215,12,22,0
Two-Wheeler,35,17,Male,1,1,0,1,0.307,13,4,2
E-Rickshaw,35,12,Male,1,1,0,0,0.395,3,32,0
Tractor,55,16,Male,1,1,1,1,0.202,19,3,1
E-Rickshaw,48,26,Male,1,1,0,0,0.258,13,28,0
Two-Wheeler,60,14,Female,1,1,0,1,0.271,9,12,0
Tractor,65,5,Male,1,1,0,0,0.159,13,30,0
Two-Wheeler,42,0,Male,1,0,0,1,0.258,10,24,2
E-Rickshaw,51,0,Female,1,1,0,0,0.084,6,7,0
Tempo,19,1,Male,0,0,1,0,0.283,6,20,0
Truck/HCV,25,7,Male,1,0,0,0,0.557,4,7,0
Tractor,50,19,Male,0,0,0,1,0.323,15,11,3
Truck/HCV,62,0,Male,1,1,0,0,0.156,19,3,0
Auto-Rickshaw,44,19,Male,1,1,1,1,0.43,9,20,0
Truck/HCV,37,19,Male,1,1,0,0,0.296,14,2,0
Bus,25,7,Male,0,0,0,0,0.022,25,35,0
Car/SUV,50,13,Male,1,0,0,1,0.15,22,5,1
Auto-Rickshaw,29,9,Male,1,1,0,0,0.488,9,15,1
Tempo,35,11,Male,0,0,0,0,0.123,12,31,0
E-Rickshaw,18,0,Female,1,1,1,0,0.417,21,25,0
Two-Wheeler,56,27,Male,1,1,0,0,0.439,15,23,1
Car/SUV,40,18,Other,0,0,0,0,0.373,5,8,0
Tractor,48,7,Female,1,0,0,0,0.633,20,36,0
Car/SUV,54,35,Male,1,1,0,1,0.106,5,2,2
E-Rickshaw,19,1,Male,0,0,0,0,0.182,20,17,1
Car/SUV,36,18,Male,1,1,0,0,0.389,25,23,0
Tempo,36,18,Female,0,1,0,1,0.592,9,27,0
Tempo,56,9,Male,1,0,0,0,0.184,0,0,3
Car/SUV,63,26,Male,1,0,0,1,0.436,8,6,0
Auto-Rickshaw,21,3,Male,1,1,1,1,0.12,20,24,0
Bus,63,15,Male,1,1,1,1,0.425,21,3,0
Bus,35,17,Male,0,0,0,1,0.166,6,30,0
Tempo,28,5,Male,1,0,0,0,0.176,25,35,0
Bus,53,24,Male,1,1,0,0,0.105,21,26,1
Bus,58,6,Male,1,1,0,1,0.255,9,20,0
Auto-Rickshaw,49,23,Male,0,1,0,1,0.772,10,1,2
Two-Wheeler,49,14,Female,0,0,0,0,0.277,22,6,3
E-Rickshaw,22,4,Male,1,0,1,0,0.584,4,0,0
Car/SUV,60,34,Male,1,1,1,0,0.044,13,32,0
Tempo,37,19,Female,1,0,0,0,0.174,9,12,3
Tempo,52,21,Male,0,0,0,0,0.342,17,36,0
Tempo,19,1,Male,1,0,0,0,0.119,6,16,0
Car/SUV,35,5,Male,1,1,0,0,0.372,2,16,1
Auto-Rickshaw,25,7,Male,0,1,0,0,0.106,2,16,3
Two-Wheeler,36,18,Male,1,1,0,1,0.458,18,9,0
Tractor,64,35,Male,1,0,0,1,0.272,13,17,0
Auto-Rickshaw,42,11,Male,1,0,0,0,0.544,24,16,0
E-Rickshaw,59,18,Male,1,0,0,0,0.016,24,17,0
Two-Wheeler,33,15,Male,1,1,0,0,0.428,4,18,1
Auto-Rickshaw,31,13,Male,1,0,0,0,0.192,4,6,0
Two-Wheeler,44,9,Male,0,0,0,1,0.347,8,28,1
Bus,47,1,Male,1,0,0,0,0.259,23,8,0
Truck/HCV,47,7,Male,0,1,0,0,0.645,16,19,0
Tractor,23,5,Male,1,0,0,1,0.321,14,13,0
Bus,21,1,Male,1,1,0,1,0.217,16,36,2
Tractor,25,7,Female,0,0,0,0,0.069,7,32,0
Bus,20,2,Male,1,1,0,0,0.438,8,19,2
Car/SUV,20,2,Female,1,1,0,0,0.715,11,1,0
E-Rickshaw,62,4,Male,1,1,0,0,0.362,3,26,0
Tempo,59,21,Male,1,0,1,0,0.352,2,5,1
Tempo,57,14,Female,1,1,0,0,0.372,16,30,2
Tractor,47,5,Male,1,0,0,0,0.192,9,33,0
Tempo,56,9,Male,1,0,0,0,0.228,18,8,3
Auto-Rickshaw,57,21,Male,1,1,0,0,0.117,15,29,0
Truck/HCV,22,0,Male,1,0,0,1,0.128,19,7,3
Truck/HCV,26,8,Male,1,1,0,1,0.246,23,2,0
Car/SUV,47,23,Male,1,0,0,1,0.41,22,20,1
Auto-Rickshaw,30,12,Female,1,1,0,0,0.258,5,1,0
E-Rickshaw,35,17,Female,1,1,0,0,0.182,13,29,1
E-Rickshaw,41,5,Female,0,1,0,0,0.282,21,15,0
Tractor,30,12,Male,1,0,0,0,0.278,12,15,2
Tempo,42,21,Male,1,1,0,0,0.073,16,9,1
E-Rickshaw,55,3,Male,1,0,0,0,0.147,16,12,0
E-Rickshaw,65,29,Male,1,1,0,1,0.216,11,32,0
Truck/HCV,42,24,Male,0,1,0,0,0.692,15,25,1
Truck/HCV,47,22,Male,1,1,1,1,0.25,19,20,0
Truck/HCV,31,13,Male,0,1,0,0,0.662,23,24,1
Truck/HCV,42,4,Male,0,0,0,0,0.274,2,10,0
E-Rickshaw,35,8,Female,1,0,0,1,0.331,5,7,2
Auto-Rickshaw,47,4,Female,1,0,0,0,0.24,10,9,0
E-Rickshaw,26,8,Male,1,0,0,0,0.505,22,4,1
Car/SUV,34,14,Male,1,0,0,0,0.371,14,22,0
Tractor,46,15,Male,0,1,0,0,0.103,22,36,0
Tractor,63,30,Male,0,1,0,1,0.446,18,14,0
Two-Wheeler,35,2,Male,0,0,0,1,0.242,21,32,0
Tempo,27,9,Other,1,0,0,1,0.149,14,25,1
Tractor,43,12,Female,1,0,0,0,0.533,11,36,3
Tractor,46,28,Male,0,1,0,0,0.188,0,25,0
Truck/HCV,20,2,Female,1,1,1,1,0.468,8,17,3
Bus,48,7,Male,0,0,1,0,0.364,25,11,0
Car/SUV,48,9,Male,1,0,0,1,0.332,24,12,0
Tempo,30,12,Female,1,1,0,0,0.218,2,4,2
Truck/HCV,44,24,Male,0,1,0,1,0.456,13,16,1
Tempo,31,13,Male,1,1,0,1,0.409,23,27,0
Truck/HCV,23,5,Male,1,0,0,1,0.326,16,9,1
Tractor,54,0,Male,1,1,0,1,0.333,25,34,0
Truck/HCV,25,4,Male,1,1,0,0,0.129,23,16,2
Bus,54,15,Male,1,1,0,0,0.242,2,23,0
E-Rickshaw,51,16,Female,1,0,0,0,0.218,13,5,0
Tractor,46,23,Male,1,1,0,0,0.111,13,11,2
Tempo,60,10,Male,0,1,0,0,0.567,20,3,0
Car/SUV,61,14,Male,1,1,1,0,0.293,9,30,1
Car/SUV,64,19,Male,1,1,0,0,0.15,10,27,2
Car/SUV,37,19,Female,1,0,0,0,0.153,17,13,1
Tractor,50,21,Male,1,0,0,0,0.174,6,13,1
Auto-Rickshaw,64,22,Female,1,0,1,0,0.28,18,4,0
Bus,60,9,Male,1,0,1,0,0.469,6,2,3
E-Rickshaw,60,5,Female,1,1,0,0,0.119,19,21,2
Car/SUV,25,7,Male,1,1,0,0,0.21,7,4,0
Auto-Rickshaw,45,27,Male,0,0,0,1,0.113,16,22,0
Car/SUV,41,18,Male,1,1,0,0,0.086,1,31,0
Bus,43,25,Male,1,0,0,0,0.251,24,15,0
Auto-Rickshaw,50,21,Male,1,1,0,0,0.087,7,30,0
Two-Wheeler,25,7,Male,0,0,0,0,0.526,6,26,0
Two-Wheeler,47,1,Male,1,0,0,1,0.142,25,2,0
Tempo,62,33,Male,1,1,1,1,0.177,13,25,0
Bus,24,5,Female,0,0,0,1,0.371,11,16,0
E-Rickshaw,51,33,Male,1,0,0,0,0.531,21,33,0
Truck/HCV,31,8,Male,1,1,0,0,0.23,25,22,0
Bus,65,20,Male,1,1,1,1,0.363,23,10,1
Car/SUV,45,27,Female,1,0,0,1,0.149,14,17,1
Bus,40,22,Male,1,0,0,0,0.103,14,23,1
Car/SUV,22,4,Female,0,0,0,0,0.588,14,19,0
E-Rickshaw,58,19,Male,0,0,0,0,0.215,16,29,0
Car/SUV,45,27,Male,1,0,0,0,0.29,20,13,0
E-Rickshaw,33,15,Male,1,1,1,0,0.13,0,33,0
Bus,37,12,Male,1,0,0,0,0.318,8,25,0
Bus,58,18,Male,0,1,0,0,0.407,17,2,3
Tempo,43,9,Male,0,1,1,1,0.288,21,36,0
Auto-Rickshaw,64,2,Male,1,0,0,0,0.228,6,1,0
Tractor,29,2,Male,1,1,0,0,0.092,25,7,1
E-Rickshaw,48,29,Female,1,0,0,1,0.358,9,24,0
Tractor,40,14,Male,1,0,0,0,0.277,23,20,0
Two-Wheeler,50,14,Female,1,0,0,0,0.062,13,8,3
Tempo,23,5,Male,0,1,0,0,0.225,11,17,0
Two-Wheeler,52,20,Male,1,1,0,0,0.169,3,23,1
Car/SUV,32,14,Male,0,0,0,0,0.584,2,23,0
Tractor,61,4,Male,1,1,0,0,0.042,13,23,0
E-Rickshaw,52,31,Male,1,1,0,0,0.353,11,3,0
Truck/HCV,30,7,Male,0,0,0,0,0.069,13,36,1
Car/SUV,55,6,Male,0,0,0,0,0.113,19,21,2
E-Rickshaw,63,1,Male,1,0,0,0,0.15,10,21,0
Auto-Rickshaw,32,12,Male,1,0,0,1,0.111,8,0,1
E-Rickshaw,50,20,Male,1,0,0,0,0.288,19,28,0
Bus,53,20,Male,1,1,0,0,0.303,5,31,2
Two-Wheeler,20,2,Male,0,1,1,0,0.247,13,20,0
Auto-Rickshaw,50,3,Male,0,0,0,0,0.272,23,6,1
Auto-Rickshaw,46,3,Female,0,1,0,1,0.073,7,18,0
E-Rickshaw,37,1,Male,0,0,0,0,0.119,24,33,3
Auto-Rickshaw,37,19,Male,1,0,0,0,0.259,11,12,1
Two-Wheeler,18,0,Female,1,1,0,0,0.45,10,34,1
E-Rickshaw,49,28,Male,1,1,0,0,0.155,9,9,0
Truck/HCV,63,7,Female,0,1,0,0,0.105,4,32,1
Car/SUV,26,8,Male,1,1,0,0,0.349,16,33,0
Truck/HCV,23,5,Female,1,0,0,0,0.307,0,6,1
Tempo,60,12,Female,0,1,0,1,0.159,24,32,1
Truck/HCV,42,24,Male,1,0,0,1,0.115,1,14,0
Tempo,35,17,Female,0,0,0,1,0.132,11,10,3
Two-Wheeler,53,34,Female,0,0,0,0,0.041,6,13,0
Car/SUV,38,13,Male,1,0,0,0,0.174,8,8,2
Auto-Rickshaw,54,35,Male,1,0,0,1,0.433,8,30,0
Two-Wheeler,33,8,Male,0,0,1,1,0.284,18,13,0
Car/SUV,42,21,Female,1,1,0,0,0.599,24,11,1
Bus,23,5,Male,1,1,0,1,0.146,9,20,0
E-Rickshaw,22,4,Male,0,1,0,0,0.031,2,31,0
Tempo,41,13,Male,1,1,0,0,0.228,20,6,0
Auto-Rickshaw,28,10,Female,1,1,0,0,0.339,4,20,0
Auto-Rickshaw,26,8,Male,1,1,0,0,0.225,11,33,0
Two-Wheeler,25,7,Male,1,1,0,1,0.252,12,20,2
Bus,36,18,Male,1,0,0,0,0.542,1,12,0
Truck/HCV,22,4,Male,1,0,0,0,0.157,1,11,0
Tractor,46,28,Male,1,1,0,1,0.519,4,35,0
Bus,42,5,Male,0,0,0,0,0.507,10,19,0
Two-Wheeler,18,0,Male,1,0,0,0,0.12,16,34,0
Car/SUV,21,3,Male,1,1,0,1,0.468,17,21,0
Tractor,46,8,Male,1,1,0,0,0.127,23,11,1
Bus,55,27,Male,0,1,0,1,0.058,6,26,0
Two-Wheeler,29,11,Male,0,1,0,1,0.192,0,13,0
Tractor,27,9,Male,0,1,0,0,0.33,10,35,1
Two-Wheeler,65,27,Male,0,0,0,1,0.647,23,9,2
Car/SUV,54,12,Male,0,1,0,0,0.145,1,2,0
Tempo,41,22,Male,0,1,0,0,0.129,24,3,0
E-Rickshaw,44,24,Female,1,0,0,0,0.424,3,19,0
Tractor,61,2,Female,1,1,0,0,0.555,21,27,0
E-Rickshaw,42,5,Male,1,0,0,0,0.182,5,17,1
Truck/HCV,64,31,Male,0,0,0,0,0.099,5,1,2
Bus,65,33,Male,1,0,0,0,0.214,12,13,0
E-Rickshaw,42,24,Male,1,0,1,0,0.063,5,11,2
Truck/HCV,34,2,Male,0,0,0,0,0.288,3,11,1
Truck/HCV,25,7,Female,1,0,0,0,0.517,4,28,0
Bus,47,13,Male,0,1,0,1,0.324,1,9,0
Auto-Rickshaw,47,29,Male,1,0,0,0,0.395,8,24,0
Tempo,53,10,Male,1,1,0,0,0.361,2,9,0
E-Rickshaw,29,5,Female,1,0,0,0,0.21,15,13,0
Tempo,31,13,Male,1,1,0,1,0.004,16,29,1
Car/SUV,22,4,Male,0,1,0,0,0.488,20,36,0
Tractor,44,7,Male,1,1,0,0,0.469,17,18,0
Bus,25,7,Male,1,1,0,0,0.146,11,30,1
Bus,53,6,Female,0,0,0,1,0.22,1,3,0
Auto-Rickshaw,28,10,Male,1,1,0,0,0.449,22,29,0
Car/SUV,37,2,Male,1,1,0,1,0.069,5,36,0
E-Rickshaw,49,31,Male,1,0,0,0,0.272,20,16,0
Car/SUV,37,2,Male,1,0,0,1,0.315,8,27,2
Bus,36,18,Male,1,1,0,1,0.232,25,16,0
Auto-Rickshaw,24,6,Male,1,0,0,1,0.45,9,34,2
Auto-Rickshaw,40,22,Male,1,1,0,0,0.098,13,17,1
E-Rickshaw,61,30,Male,1,1,0,0,0.076,19,14,2
Car/SUV,18,0,Male,1,0,0,0,0.487,2,6,2
Tempo,29,11,Male,1,0,1,0,0.305,17,0,1
Truck/HCV,45,26,Male,1,0,0,0,0.198,24,2,3
E-Rickshaw,55,33,Female,1,1,0,0,0.41,19,20,0
E-Rickshaw,31,10,Female,0,0,0,1,0.295,20,36,0
Truck/HCV,33,15,Male,1,1,0,0,0.303,10,3,1
Car/SUV,18,0,Female,1,0,0,1,0.435,5,11,0
Tempo,53,20,Male,1,1,0,1,0.085,14,22,2
Bus,21,3,Female,0,0,0,0,0.196,23,15,0
Truck/HCV,56,8,Male,0,1,0,1,0.788,11,30,1
Auto-Rickshaw,52,25,Male,0,1,0,0,0.487,7,19,0
Tempo,37,19,Male,0,0,0,0,0.213,7,35,1
Tempo,36,12,Male,0,0,0,1,0.201,17,3,1
E-Rickshaw,44,3,Female,1,1,0,0,0.681,24,36,0
Tempo,23,5,Male,1,0,0,0,0.268,21,7,0
Truck/HCV,31,8,Male,1,1,0,1,0.582,15,23,0
Car/SUV,29,11,Male,1,0,0,0,0.361,11,7,3
Auto-Rickshaw,53,19,Male,1,1,0,1,0.217,12,23,0
Truck/HCV,20,2,Male,1,0,0,1,0.186,13,16,0
Tempo,44,14,Male,0,0,0,0,0.438,10,6,0
Bus,40,22,Female,1,1,0,1,0.37,12,27,0
Car/SUV,42,15,Male,1,0,0,0,0.164,7,18,0
Car/SUV,36,5,Male,1,1,0,1,0.524,25,24,1
Two-Wheeler,35,17,Male,1,0,0,0,0.14,16,0,0
Tempo,48,30,Male,1,1,0,0,0.296,1,28,0
Tractor,62,17,Male,1,0,1,1,0.435,20,36,0
Tempo,20,2,Female,1,1,0,0,0.186,10,27,0
Car/SUV,55,9,Male,1,0,0,1,0.268,8,29,3
Auto-Rickshaw,65,1,Male,1,1,0,0,0.17,2,25,0
Tractor,65,30,Male,1,1,0,0,0.36,18,2,3
E-Rickshaw,23,5,Male,0,0,0,0,0.251,24,24,0
Tempo,39,21,Other,1,0,0,0,0.281,12,36,2
Truck/HCV,42,24,Male,1,0,0,0,0.51,0,16,0
Tempo,63,3,Male,1,1,0,0,0.52,18,34,1
Auto-Rickshaw,65,13,Male,0,1,0,0,0.5,13,29,1
Car/SUV,45,27,Male,1,1,0,0,0.04,16,12,0
E-Rickshaw,40,10,Male,1,0,0,0,0.305,24,17,0
Bus,57,30,Male,0,0,0,0,0.38,6,32,0
Two-Wheeler,45,27,Male,1,1,0,0,0.293,24,11,0
Bus,60,4,Male,1,0,0,1,0.737,23,29,1
Two-Wheeler,53,5,Male,0,0,0,0,0.587,12,31,0
Bus,58,25,Male,1,1,0,1,0.093,11,1,0
Tempo,49,31,Male,1,1,0,0,0.255,2,9,0
Bus,22,4,Male,0,1,1,0,0.068,17,31,0
Auto-Rickshaw,19,1,Male,1,1,1,0,0.167,24,32,0
Tractor,53,30,Male,0,0,0,0,0.499,10,28,0
Two-Wheeler,46,7,Male,0,1,0,1,0.433,20,31,1
Two-Wheeler,27,9,Male,1,1,1,0,0.18,3,4,0
Tractor,45,9,Male,1,1,1,0,0.231,5,17,0
E-Rickshaw,36,18,Female,1,1,0,0,0.129,1,26,1
Truck/HCV,30,12,Male,1,1,0,0,0.478,18,13,0
Tractor,60,5,Male,1,1,0,1,0.159,13,17,1
Two-Wheeler,40,17,Female,1,0,0,0,0.569,6,4,3
Car/SUV,64,1,Male,1,1,0,0,0.828,11,8,3
Car/SUV,52,5,Female,1,0,1,1,0.08,13,29,3
Bus,42,24,Female,1,1,0,1,0.153,7,11,0
Auto-Rickshaw,47,4,Male,1,1,0,0,0.379,12,34,0
Auto-Rickshaw,23,5,Male,1,1,0,0,0.08,9,34,0
Tractor,28,10,Male,1,0,0,1,0.151,10,33,0
E-Rickshaw,56,27,Male,0,1,0,0,0.262,1,30,1
Car/SUV,25,7,Male,0,0,0,0,0.201,3,8,0
Truck/HCV,58,23,Female,1,1,0,1,0.299,1,5,2
Bus,38,8,Male,1,1,0,0,0.302,12,6,0
Bus,29,11,Male,1,1,1,1,0.366,2,29,0
Tractor,50,32,Male,1,0,0,0,0.13,5,17,1
Car/SUV,63,24,Male,1,0,0,0,0.128,21,13,1
Tractor,65,6,Male,1,1,0,0,0.078,16,7,0
Car/SUV,48,11,Male,1,1,0,0,0.143,1,11,0
Two-Wheeler,65,13,Male,1,1,0,0,0.162,13,24,1
Auto-Rickshaw,37,3,Male,1,1,0,0,0.608,13,26,1
Tempo,49,28,Male,1,0,0,0,0.209,17,9,0
Two-Wheeler,52,32,Male,1,0,0,0,0.373,8,15,1
Auto-Rickshaw,29,7,Male,1,0,0,0,0.082,21,29,3
Two-Wheeler,37,19,Male,1,1,1,0,0.285,6,5,2
Car/SUV,49,23,Male,0,1,0,0,0.408,8,14,0
Car/SUV,47,22,Male,1,1,0,0,0.397,13,2,2
Car/SUV,24,6,Male,0,0,0,0,0.091,2,0,1
Two-Wheeler,36,18,Male,1,0,0,1,0.167,15,14,0
Bus,43,25,Male,1,0,0,1,0.427,19,23,0
Two-Wheeler,23,4,Female,0,1,0,0,0.278,24,17,0
Tractor,35,10,Female,1,1,0,0,0.164,6,12,3
Tractor,44,15,Female,1,0,0,0,0.074,13,6,1
Car/SUV,36,3,Female,1,1,1,1,0.317,25,31,0
Truck/HCV,60,33,Male,1,1,0,0,0.398,16,17,0
E-Rickshaw,59,4,Male,1,1,1,0,0.28,12,11,0
Truck/HCV,47,18,Male,1,1,0,0,0.445,10,4,0
Truck/HCV,43,25,Male,1,1,0,0,0.272,23,31,0
E-Rickshaw,20,2,Male,1,0,0,1,0.279,17,15,0
Tractor,51,16,Male,1,0,0,1,0.076,1,26,2
Truck/HCV,29,11,Male,1,0,0,1,0.288,15,30,1
E-Rickshaw,25,7,Male,0,1,0,0,0.255,14,29,0
Truck/HCV,38,20,Male,0,0,0,0,0.283,22,10,1
Car/SUV,30,12,Male,1,1,0,0,0.157,17,0,0
Tractor,28,10,Female,0,1,0,0,0.637,20,25,2
Truck/HCV,41,23,Male,1,0,1,0,0.077,24,36,0
